Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7558453237410072,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7078651685393258,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8338650306748466,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
388,8e3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7846562856057728,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.18844566712517194,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4454935622317597,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.20143149284253575,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3210126582278481,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5112419700214133,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2859866539561487,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6370808678500987,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7845178813942958,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7367972742759795,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7107046070460704,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8391408114558473,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
387,8f3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7824752812819639,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2057416267942584,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.425065274151436,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.19673161533626649,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3253382533825338,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5026805424156418,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2614654717975751,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6206896551724138,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7855256207078711,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7711776859504132,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7102941176470589,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8464589235127479,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
386,903e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7593297791317594,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.20293122886133036,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4689535388623535,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.21046301864101025,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.34498620055197793,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5490081680280047,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.29387113672079623,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6424148606811145,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8072543230704344,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7346355407336828,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7249565720903299,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8529906317559452,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
385,913e4dfc-23b6-e811-a2c0-c4346bcb7275,0.775359502526234,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
384,923e4dfc-23b6-e811-a2c0-c4346bcb7275,0.16323907455012854,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
384,923e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4131683605832965,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
384,923e4dfc-23b6-e811-a2c0-c4346bcb7275,0.1923509561304837,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
384,923e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2920137187653111,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
